NOME,NUM,LAT,LON
R. Dep. José Hoffmann. 80 - Vista Alegre,190836,-25.4086089,-49.29986
Rua Leonardo Krasinski. 2 - Boa Vista,120660,-25.390998849153,-49.25516372035
Av. Pres. Affonso Camargo. 961 - Cristo Rei,130430,-25.435550401178,-49.25038933754
Terminal Centenário - 332 - Acrópole,105108,-25.469114932144,-49.207962944775
R. Nilo Peçanha. 3212 - Pilarzinho,120359,-25.391517742487,-49.272459571118
Rua Suécia. 199 - Tarumã,130743,-25.43284743905,-49.228068323081
Rua Izaac Ferreira da Cruz. 4237 - Sítio Cercado,160178,-25.532448599716,-49.262069016695
Av. Pres. Washington Luís. 990 - Jardim Social,130472,-25.418272945697,-49.227888615078
Rua Prof. Júlio Teodorico Guimarães. 376 - Pinheirinho,150542,-25.527398869388,-49.271715910381
Rua Iapó. 579 - Rebouças,140186,-25.446212806029,-49.255276651329
Rua Paranaguá. 502 - Água Verde,150526,-25.468973827661,-49.287685782856
Rua Capitão Leônidas Marquês. 191 - Uberaba,140452,-25.464054379889,-49.222521409423
Rua Marte. 1574 - Sítio Cercado,150348,-25.530737963506,-49.266089504299
Terminal Fazendinha - 828 - Campo Comprido / Capão Raso - 831 - Fazendinha / Capão Raso,105308,-25.47723753141,-49.327455830689
Rua José Rodrigues Pinheiro. 2950 - Capão Raso,170131,-25.519747836139,-49.326423586554
Rua Victor Benato. 283 - Pilarzinho (Universidade Livre do Meio Ambiente),120543,-25.398618570942,-49.282371829869
Rua Padre Gaston. 262 - Cidade Industrial,170086,-25.513966274723,-49.323102731847
R. Mateus Leme.  1654 - São Francisco,120532,-25.412732407619,-49.271372587627
Rua Lúcio de Oliveira Lara. 101 - Osternack,160193,-25.55433,-49.25821
Rua Dr. Lauro Gentio Portugal Tavares. 145 - Sítio Cercado,160307,-25.533891817326,-49.255035252518
Rua Prof. Alberto Krause. 983 - Tanguá - Almirante Tamandaré - PR,250052,-25.379480048347,-49.306159497446
Av. Manoel Ribas. 5466 - Santa Felicidade,190699,-25.40456165641,-49.327617169565
Rua Humberto Cicarino. 180 - Boqueirão,150408,-25.49350019329,-49.260205856194
Rua Catarina Gabardo. 118 - Xaxim,150752,-25.495922647644,-49.263025092105
Rua Pinheiro Guimarães. 1308 - Portão,180462,-25.470461002477,-49.311925271385
Rua Teodoro Makiolka. 4382 - Barreirinha,120473,-25.364840750804,-49.257874075625
Rua Abraão Winter. 927 -Xaxim,150805,-25.521573780124,-49.26482187378
Rua Paolo Batan. 984 - Boa Vista,120912,-25.374941248852,-49.249400599792
Estrada Delegado Bruno de Almeida. 2074 - Campo de Santana,170554,-25.587647306131,-49.318287105507
Av. Manoel Ribas. 4095 - Cascatinha,190690,-25.413224218572,-49.315060408062
Rua David Tows. 1119 - Xaxim,150436,-25.522664719781,-49.261174300214
Rua José Hauer. 819  - Boqueirão,140493,-25.50162,-49.22254
Av. Silva Jardim. 5129 - Água Verde,110081,-25.443193510851,-49.276324538643
Av. Pres. Wenceslau Braz. 2330 - Lindóia,150687,-25.476270982553,-49.278615893072
Rua Cap Leônidas Marquês. 2291 - Uberaba,140510,-25.484012013777,-49.213311979668
Rua Minas Gerais. 697 - Guaíra,150660,-25.466908273457,-49.272859872526
Rua Engenheiro Raul Suplicy de Lacerda. 356 - Alto Boqueirão,160159,-25.55875,-49.23092
Rua Nicola Pellanda. 854 - Pinheirinho,160140,-25.537718591055,-49.294969909978
Rua Evaristo da Veiga. 2422 - Boqueirão,150213,-25.492413000217,-49.259629387732
Av. Pres. Wenceslau Braz. 3166 - Parolin,150822,-25.477228642601,-49.284599901384
Terminal Sítio Cercado - 548 - Osternack / Sítio Cercado,106106,-25.534225338576,-49.26762017424
Rua Engenheiro Heitor Soares Gomes. 80 - Portão,180690,-25.471620593161,-49.300516129679
Avenida Vicente Machado. 249-317 - Centro,110116,-25.434478829609,-49.279877872414
Rua Engenheiros Rebouças. 540 - Jardim Botanico,110171,-25.438835151813,-49.251793802923
Rua Vitor Ferreira do Amaral. 473 - Tarumã,130265,-25.430822400891,-49.208425165361
Rua José de Melo Braga Júnior. 624- Jardim das Américas,140574,-25.466968813164,-49.224718244022
Rua Pedro Zagonel. 1211 - Novo Mundo,170885,-25.489186038616,-49.306942702478
Av. Anita Garibaldi. 1000 - Cachoeira,120055,-25.356483516146,-49.263492186508
Terminal Carmo - 522 - Maringá,104909,-25.500741171719,-49.237948685158
R. Albino Silva. 122 - Bom Retiro,110009,-25.416686217974,-49.276544276273
Travessa. Nestor de Castro - Centro,101131,-25.428057764996,-49.271696557684
Rua Constantino José de Almeida. 261 - Xaxim,150756,-25.510728358668,-49.267650693655
Rua Mandirituba. 1427 - Sítio Cercado,160122,-25.545542809936,-49.272295101852
